gtdb_species_clade_id,env_broad_scale,n_genomes_in_env
s__Pectobacterium_brasiliense--RS_GCF_000754695.1,plain,1
s__Weissella_confusa--GB_GCA_001436895.1,terrestrial biome,1
s__Bacillus_velezensis--RS_GCF_001461825.1,greenhouse,1
s__Enterococcus_E_cecorum--RS_GCF_000407565.1,habitat,1
s__Pantoea_agglomerans--RS_GCF_001598475.1,field,1
s__Ruminococcus_D_bicirculans--RS_GCF_000723465.1,watercourse,1
s__Odoribacter_splanchnicus--RS_GCF_000190535.1,habitat,1
s__Legionella_pneumophila--RS_GCF_000008485.1,,7
s__Clostridium_F_sporogenes--RS_GCF_001020205.1,,1
s__Vibrio_splendidus--GB_GCA_024347615.1,marine biome,1
s__Pediococcus_pentosaceus--RS_GCF_001437285.1,bioreactor,3
s__Stutzerimonas_stutzeri--RS_GCF_000219605.1,environmental system,2
s__Bacillus_A_thuringiensis_S--RS_GCF_000021305.1,subpolar coniferous forest biome,1
s__Priestia_megaterium--RS_GCF_000832985.1,root,2
s__Enterococcus_faecalis--RS_GCF_000392875.1,agricultural process,1
s__Mycobacterium_abscessus--RS_GCF_000069185.1,unidentified,1
s__Phocaeicola_vulgatus--RS_GCF_000012825.1,biome,1
s__Klebsiella_aerogenes--RS_GCF_000215745.1,soil,1
s__Pantoea_ananatis--RS_GCF_000710035.2,river,1
s__Wolbachia_pipientis--RS_GCF_021378375.1,mangrove swamp,1
s__Staphylococcus_hominis--RS_GCF_002901845.1,agricultural field,1
s__Pseudomonas_E_protegens--RS_GCF_000397205.1,,16
s__Sulfitobacter_mediterraneus--RS_GCF_003054325.1,estuarine biome,47
s__Faecalibacterium_longum--RS_GCF_020687245.1,anthropogenic terrestrial biome,3
s__Bacillus_A_cereus--RS_GCF_000007825.1,skin environment,1
s__Streptococcus_salivarius--RS_GCF_000785515.1,terrestrial biome,4
s__Lactobacillus_johnsonii--RS_GCF_000159355.1,animal-associated environment,1
s__Sinorhizobium_meliloti--RS_GCF_017876815.1,soil,1
s__Phascolarctobacterium_faecium--RS_GCF_003269275.1,feces,1
s__Bacillus_altitudinis--RS_GCF_000691145.1,,15
s__Klebsiella_ornithinolytica--RS_GCF_001598295.1,,7
s__Clostridioides_difficile--RS_GCF_001077535.1,city,1
s__Micrococcus_luteus--RS_GCF_000023205.1,biofilm,1
s__Lactococcus_cremoris--RS_GCF_001591705.1,farm,1
s__Enterobacter_cloacae_M--RS_GCF_002208095.1,sludge,1
s__Faecalibacterium_duncaniae--RS_GCF_010509575.1,biome,1
s__Mycobacterium_avium--RS_GCF_009741445.1,human-associated habitat,1
s__Streptococcus_iniae--RS_GCF_003674745.1,fish farm,1
s__Leuconostoc_mesenteroides--RS_GCF_000014445.1,,12
s__Bacteroides_fragilis--RS_GCF_000025985.1,,66
s__Lacticaseibacillus_rhamnosus--RS_GCF_900636965.1,biome,9
s__Stutzerimonas_stutzeri--RS_GCF_000219605.1,biome,1
s__Bacillus_subtilis--RS_GCF_000009045.1,bovine milk,1
s__Bacteroides_stercoris--GB_GCA_025147325.1,feces,1
s__Vibrio_parahaemolyticus--RS_GCF_900460535.1,watercourse,2
s__Bacillus_A_thuringiensis_S--RS_GCF_000021305.1,mangrove swamp,1
s__Yersinia_enterocolitica--RS_GCF_901472495.1,alimentary part of gastrointestinal system,1
s__Citrobacter_portucalensis--RS_GCF_002042885.1,,15
s__Bordetella_pertussis--RS_GCF_000306945.1,,8
s__Ralstonia_pseudosolanacearum--RS_GCF_024925465.1,,5
s__Pseudomonas_E_asiatica--RS_GCF_009932335.1,agricultural field,9
s__Lacticaseibacillus_rhamnosus--RS_GCF_900636965.1,feces,3
s__Bacillus_velezensis--RS_GCF_001461825.1,ocean,1
s__Enterobacter_hormaechei_A--RS_GCF_001729745.1,environmental system determined by an organism,1
s__Mannheimia_haemolytica--RS_GCF_004342115.1,terrestrial biome,1
s__Escherichia_fergusonii--RS_GCF_000026225.1,human-associated habitat,1
s__Aliivibrio_fischeri--RS_GCF_023983475.1,lagoon,1
s__Piscirickettsia_salmonis--RS_GCF_000297215.2,,4
s__Listeria_monocytogenes--RS_GCF_900187225.1,food material,4
s__Brucella_melitensis--RS_GCF_000007125.1,tissue paper,6
s__Enterococcus_B_faecium--RS_GCF_001544255.1,watercourse,2
s__Akkermansia_muciniphila--RS_GCF_000020225.1,microcosm,1
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,biome,1
s__Lactobacillus_johnsonii--RS_GCF_000159355.1,biome,2
s__Aeromonas_caviae--RS_GCF_000819785.1,bioreactor,1
s__Burkholderia_cenocepacia--RS_GCF_900446215.1,nest of ant,1
s__Fusicatenibacter_saccharivorans--RS_GCF_015557635.1,microcosm,1
s__Acinetobacter_nosocomialis--RS_GCF_000368085.1,liquid water,1
s__Acinetobacter_radioresistens--RS_GCF_006757745.1,,5
s__Pseudomonas_E_viridiflava--RS_GCF_001642795.1,,5
s__Pseudomonas_E_chlororaphis_F--RS_GCF_003850345.1,river,1
s__Bacillus_subtilis--RS_GCF_000009045.1,soil,19
s__Bifidobacterium_bifidum--RS_GCF_001025135.1,biome,23
s__Klebsiella_michiganensis--RS_GCF_002925905.1,hospital,1
s__Prevotella_copri_A--RS_GCF_002224675.1,Homo sapiens,2
s__Leuconostoc_mesenteroides--RS_GCF_000014445.1,bioreactor,6
s__Rhodococcus_qingshengii--RS_GCF_023221595.1,deep marine sediment,1
s__Anaerostipes_hadrus--RS_GCF_000332875.2,anthropogenic terrestrial biome,2
s__Bacillus_A_cereus--RS_GCF_000007825.1,soil,1
s__Klebsiella_michiganensis--RS_GCF_002925905.1,unidentified,1
s__Bacteroides_fragilis_A--RS_GCF_002849695.1,human-associated habitat,2
s__Bacillus_velezensis--RS_GCF_001461825.1,desert biome,2
s__Enterobacter_cloacae_M--RS_GCF_002208095.1,feces,1
s__Levilactobacillus_brevis--RS_GCF_001433855.1,farm,2
s__Bacillus_A_paranthracis--RS_GCF_001883995.1,,4
s__Serratia_nevei--RS_GCF_008364245.1,sludge,3
s__Rhizobium_leguminosarum--RS_GCF_002008365.1,rhizosphere,1
s__Pseudomonas_E_paracarnis--RS_GCF_904063055.1,freshwater environment,5
s__Weissella_confusa--GB_GCA_001436895.1,Apis mellifera,1
s__Gemmiger_formicilis--RS_GCF_900167555.1,terrestrial biome,4
s__Enterococcus_D_casseliflavus--RS_GCF_001544095.1,feces,1
s__Limosilactobacillus_reuteri_E--RS_GCF_013694365.1,habitat,1
s__Xanthomonas_campestris--RS_GCF_000007145.1,human-associated habitat,1
s__Vibrio_campbellii--RS_GCF_002163755.1,,4
s__Bacteroides_xylanisolvens--RS_GCF_000210075.1,watercourse,15
s__Burkholderia_orbicola--RS_GCF_014211915.1,cropland biome,4
s__Pseudomonas_E_paracarnis--RS_GCF_904063055.1,feces,1
s__Ruminococcus_E_sp900317315--GB_GCA_900317315.1,watercourse,1
s__Bacillus_A_bombysepticus--RS_GCF_006384875.1,spring,1
s__Leuconostoc_mesenteroides--RS_GCF_000014445.1,intestine,1
s__Ligilactobacillus_salivarius--RS_GCF_001435955.1,animal house,1
s__Bacteroides_thetaiotaomicron--RS_GCF_000011065.1,,80
s__Bacteroides_caccae--RS_GCF_002222615.2,,27
s__Ruminococcus_E_bromii_B--RS_GCF_002834235.1,,11
s__Leclercia_adecarboxylata--GB_GCA_901472455.1,,1
s__Klebsiella_ornithinolytica--RS_GCF_001598295.1,river,1
s__Enterobacter_kobei--RS_GCF_001729765.1,environmental system,2
s__Faecalibacterium_duncaniae--RS_GCF_010509575.1,feces,4
s__Bacteroides_fragilis_A--RS_GCF_002849695.1,Homo sapiens,2
s__Pectobacterium_brasiliense--RS_GCF_000754695.1,undersea feature,1
s__Ruminococcus_B_gnavus--RS_GCF_008121495.1,human-associated habitat,2
s__Priestia_megaterium--RS_GCF_000832985.1,forested area,1
s__Acinetobacter_junii--RS_GCF_000368765.1,Homo sapiens,1
s__Pseudomonas_E_syringae--RS_GCF_000507185.2,,23
s__Limosilactobacillus_fermentum--RS_GCF_013394085.1,farm,2
s__Phocaeicola_dorei--RS_GCF_013009555.1,terrestrial biome,9
s__Eggerthella_lenta--RS_GCF_000024265.1,human-associated habitat,2
s__Enterococcus_faecalis--RS_GCF_000392875.1,environmental system determined by an organism,1
s__Bifidobacterium_breve--RS_GCF_001025175.1,human-associated habitat,2
s__Phocaeicola_vulgatus--RS_GCF_000012825.1,digestive system,1
s__Pediococcus_acidilactici--RS_GCF_000146325.1,food material for animals,1
s__Clostridioides_difficile--RS_GCF_001077535.1,dense settlement biome,54
s__Rhizobium_laguerreae--RS_GCF_002008165.1,root nodule,24
s__Bifidobacterium_breve--RS_GCF_001025175.1,watercourse,2
s__Streptomyces_albidoflavus--RS_GCF_000719955.1,soil,1
s__Lactococcus_lactis--RS_GCF_900099625.1,intestine,1
s__Enterobacter_hormaechei_A--RS_GCF_001729745.1,,123
s__Cutibacterium_acnes--RS_GCF_003030305.1,,19
s__Mycobacterium_marinum--RS_GCF_003391395.1,,30
s__Providencia_rettgeri_D--RS_GCF_013255915.1,,5
s__Bifidobacterium_pseudocatenulatum--RS_GCF_001025215.1,biome,35
s__Klebsiella_oxytoca--RS_GCF_001598695.1,Apis mellifera,1
s__Bifidobacterium_adolescentis--RS_GCF_000010425.1,human-associated habitat,16
s__Blautia_A_wexlerae--GB_GCA_025148125.1,anthropogenic terrestrial biome,13
s__Bacteroides_ovatus--RS_GCF_001314995.1,habitat,1
s__Pasteurella_multocida--RS_GCF_900187275.1,farm,4
s__Acinetobacter_nosocomialis--RS_GCF_000368085.1,terrestrial biome,1
s__Enterobacter_bugandensis--RS_GCF_900324475.1,terrestrial biome,1
s__Agathobacter_rectalis--GB_GCA_000020605.1,watercourse,5
s__Staphylococcus_saprophyticus--RS_GCF_000010125.1,human-associated habitat,1
s__Klebsiella_quasipneumoniae--RS_GCF_020525925.1,liquid water,1
s__Clostridium_AQ_innocuum--RS_GCF_012317185.1,,28
s__Faecalibacterium_duncaniae--RS_GCF_010509575.1,,13
s__Dorea_formicigenerans--GB_GCA_025150245.1,,29
s__Bifidobacterium_longum--RS_GCF_000196555.1,unidentified,17
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,terrestrial biome,4
s__Clostridium_AQ_innocuum--RS_GCF_012317185.1,feces,2
s__Enterococcus_B_lactis--RS_GCF_015751045.1,biome,2
s__Xanthomonas_oryzae--RS_GCF_004136375.1,terrestrial biome,1
s__Morganella_morganii--RS_GCF_019243775.1,human-associated habitat,2
s__Citrobacter_portucalensis--RS_GCF_002042885.1,freshwater biome,1
s__Clostridium_beijerinckii--RS_GCF_018223745.1,bioreactor,3
s__Pseudomonas_E_protegens--RS_GCF_000397205.1,Homo sapiens,2
s__Enterococcus_faecalis--RS_GCF_000392875.1,unidentified,2
s__Xanthomonas_euvesicatoria--RS_GCF_020880415.1,Embryophyta,1
s__Xanthomonas_campestris--RS_GCF_000007145.1,field,2
s__Latilactobacillus_sakei--RS_GCF_002370355.1,food material,6
s__Priestia_megaterium--RS_GCF_000832985.1,leaf,1
s__Mediterraneibacter_faecis--GB_GCA_001312505.1,feces,3
s__Klebsiella_oxytoca--RS_GCF_001598695.1,companion animal,2
s__Bacteroides_fragilis--RS_GCF_000025985.1,biome,1
s__Enterococcus_faecalis--RS_GCF_000392875.1,citrus fruit food product,1
s__Mammaliicoccus_sciuri--RS_GCF_002901825.1,human-associated habitat,1
s__Priestia_megaterium--RS_GCF_000832985.1,arid biome,1
s__Listeria_monocytogenes_C--RS_GCF_013282665.1,,1
s__Pseudomonas_E_protegens--RS_GCF_000397205.1,hillside,1
s__Enterococcus_B_lactis--RS_GCF_015751045.1,terrestrial biome,6
s__Pediococcus_acidilactici--RS_GCF_000146325.1,bioreactor,2
s__Streptococcus_thermophilus--RS_GCF_010120595.1,milk,2
s__Bacillus_A_cereus--RS_GCF_000007825.1,watercourse,1
s__Priestia_megaterium--RS_GCF_000832985.1,estuarine biome,1
s__Mycobacterium_avium--RS_GCF_009741445.1,,48
s__Pseudomonas_E_monteilii--RS_GCF_000730605.1,,18
s__Staphylococcus_capitis--RS_GCF_002902325.1,biome,10
s__Streptococcus_pseudopneumoniae--RS_GCF_002087075.1,terrestrial biome,2
s__Yersinia_ruckeri--RS_GCF_000754815.1,fish farm,7
s__Enterococcus_B_faecium--RS_GCF_001544255.1,farm,1
s__Rhizobium_leguminosarum--RS_GCF_002008365.1,forest biome,3
s__Pantoea_ananatis--RS_GCF_000710035.2,Embryophyta,3
s__Bifidobacterium_animalis--RS_GCF_000260715.1,food processing building,1
s__Flavonifractor_plautii--RS_GCF_000239295.1,intestine environment,1
s__Lactococcus_cremoris--RS_GCF_001591705.1,food material,1
s__Bacillus_A_cereus--RS_GCF_000007825.1,temperate woodland biome,1
s__Enterobacter_kobei--RS_GCF_001729765.1,,17
s__Methanosarcina_mazei--RS_GCF_000970205.1,estuary,56
s__Sarcina_perfringens--RS_GCF_000013285.1,human-associated habitat,2
s__Porphyromonas_gingivalis--RS_GCF_000010505.1,anatomical cavity,2
s__Clostridium_butyricum--RS_GCF_006742065.1,watercourse,1
s__Dickeya_dianthicola--RS_GCF_000365305.1,river water,1
s__Corynebacterium_pseudotuberculosis--RS_GCF_002155265.1,mediterranean,1
s__Phocaeicola_vulgatus--RS_GCF_000012825.1,fecal environment,1
s__Enterobacter_cloacae_M--RS_GCF_002208095.1,human-associated habitat,1
s__Rhizobium_laguerreae--RS_GCF_002008165.1,root,1
s__Bacteroides_uniformis--GB_GCA_025147485.1,fecal environment,1
s__Aggregatibacter_actinomycetemcomitans--RS_GCF_000372365.1,,1
s__Bacillus_A_wiedmannii--RS_GCF_001583695.1,,7
s__Rhizobium_ruizarguesonis--RS_GCF_012349115.1,terrestrial biome,7
s__Rhizobium_leguminosarum--RS_GCF_002008365.1,plant-associated habitat,2
s__Bacillus_velezensis--RS_GCF_001461825.1,agricultural ecosystem,1
s__Pantoea_ananatis--RS_GCF_000710035.2,tropical biome,1
s__Clostridioides_difficile--RS_GCF_001077535.1,human-associated habitat,1
s__Lactococcus_cremoris--RS_GCF_001591705.1,watercourse,1
s__Streptococcus_thermophilus--RS_GCF_010120595.1,digestive system,1
s__Enterococcus_E_cecorum--RS_GCF_000407565.1,biome,1
s__Morganella_morganii--RS_GCF_019243775.1,,13
s__Burkholderia_contaminans--RS_GCF_000987075.1,,3
s__Agathobacter_faecis--RS_GCF_001406815.1,human-associated habitat,8
s__Citrobacter_braakii--RS_GCF_002075345.1,sewage,24
s__Pelagibacter_sp003209915--GB_GCA_003209915.1,marine biome,5
s__Streptococcus_thermophilus--RS_GCF_010120595.1,plain,1
s__Aeromonas_caviae--RS_GCF_000819785.1,human-associated habitat,2
s__Levilactobacillus_brevis--RS_GCF_001433855.1,brewery,2
s__Yersinia_ruckeri--RS_GCF_000754815.1,,5
s__Rhodococcus_equi--RS_GCF_002094305.1,sputum,1
s__Akkermansia_muciniphila--RS_GCF_000020225.1,biome,40
s__Legionella_pneumophila--RS_GCF_000008485.1,freshwater biome,5
s__Citrobacter_freundii--RS_GCF_011064845.1,wastewater treatment plant,1
s__Levilactobacillus_brevis--RS_GCF_001433855.1,silage,1
s__Cronobacter_sakazakii--RS_GCF_000982825.1,Homo sapiens,1
s__Pantoea_ananatis--RS_GCF_000710035.2,biome,2
s__Limosilactobacillus_reuteri--RS_GCF_000016825.1,feces,1
s__Streptomyces_albidoflavus--RS_GCF_000719955.1,rice field,1
s__Enterobacter_ludwigii--RS_GCF_001750725.1,terrestrial habitat,1
s__Gemmiger_formicilis--RS_GCF_900167555.1,watercourse,3
s__Bacillus_safensis--RS_GCF_000691165.1,coast,1
s__Pseudomonas_E_asiatica--RS_GCF_009932335.1,subtropical,1
s__Stenotrophomonas_sepilia--RS_GCF_003244875.1,agricultural soil,1
s__Staphylococcus_haemolyticus--RS_GCF_006094395.1,Homo sapiens,2
s__Blautia_A_massiliensis--RS_GCF_001487165.1,anthropogenic terrestrial biome,3
s__Lacticaseibacillus_rhamnosus--RS_GCF_900636965.1,terrestrial biome,2
s__Leuconostoc_mesenteroides--RS_GCF_000014445.1,plant matter,1
s__Rhodococcus_qingshengii--RS_GCF_023221595.1,facility,1
s__Bacillus_A_paranthracis--RS_GCF_001883995.1,food (fermented),1
s__Prevotella_sp015074785--RS_GCF_015074785.1,terrestrial biome,1
s__Bacillus_velezensis--RS_GCF_001461825.1,undersea feature,1
s__Bacillus_paralicheniformis--RS_GCF_001042485.2,,38
s__Prevotella_sp015074785--RS_GCF_015074785.1,,10
s__Bacillus_safensis--RS_GCF_000691165.1,,15
s__Klebsiella_oxytoca--RS_GCF_001598695.1,,3
s__Pediococcus_acidilactici--RS_GCF_000146325.1,Homo sapiens,1
s__Bacillus_pumilus--RS_GCF_900186955.1,sea water,1
s__Rhodococcus_qingshengii--RS_GCF_023221595.1,sea water,1
s__Acinetobacter_nosocomialis--RS_GCF_000368085.1,river bank,1
s__Vibrio_cyclitrophicus--GB_GCA_024347435.1,coastal sea water,1
s__Bacillus_A_wiedmannii--RS_GCF_001583695.1,soil,1
s__Helicobacter_pylori_C--RS_GCF_000277405.1,terrestrial biome,1
s__Limosilactobacillus_reuteri--RS_GCF_000016825.1,food material for animals,1
s__Aeromonas_caviae--RS_GCF_000819785.1,freshwater biome,1
s__Lacticaseibacillus_paracasei--RS_GCF_000829035.1,,17
s__Streptococcus_thermophilus--RS_GCF_010120595.1,cultivated habitat,1
s__Faecalibacterium_prausnitzii--RS_GCF_003324185.1,watercourse,1
s__Prevotella_copri_B--RS_GCF_009494135.1,human-associated habitat,17
s__Limosilactobacillus_reuteri--RS_GCF_000016825.1,vertebrate animal,15
s__Klebsiella_aerogenes--RS_GCF_000215745.1,Homo sapiens,4
s__Citrobacter_braakii--RS_GCF_002075345.1,bioreactor,2
s__Enterobacter_hormaechei_A--RS_GCF_001729745.1,liquid water,3
s__Corynebacterium_glutamicum--RS_GCF_000011325.1,livestock-associated habitat,1
s__Stutzerimonas_stutzeri--RS_GCF_000219605.1,soil,1
s__Aeromonas_veronii--RS_GCF_000820225.1,aquatic biome,1
s__Blautia_A_massiliensis--RS_GCF_001487165.1,,22
s__Acinetobacter_soli--RS_GCF_000760595.1,,21
s__Oenococcus_oeni--RS_GCF_000372485.1,,23
s__Leuconostoc_mesenteroides--RS_GCF_000014445.1,food material,4
s__Limosilactobacillus_reuteri--RS_GCF_000016825.1,dairy food product,2
s__Streptococcus_thermophilus--RS_GCF_010120595.1,Homo sapiens,8
s__Phocaeicola_vulgatus--RS_GCF_000012825.1,anthropogenic terrestrial biome,1
s__Bifidobacterium_breve--RS_GCF_001025175.1,Homo sapiens,3
s__Clostridium_butyricum--RS_GCF_006742065.1,Homo sapiens,1
s__Pasteurella_multocida--RS_GCF_900187275.1,plateau,1
s__Faecalibacterium_prausnitzii--RS_GCF_003324185.1,terrestrial biome,2
s__Acinetobacter_soli--RS_GCF_000760595.1,forested area,1
s__Pseudomonas_E_alloputida--RS_GCF_021282585.1,bioreactor,1
s__Vibrio_alginolyticus--RS_GCF_000354175.2,biome,1
s__Ligilactobacillus_ruminis--RS_GCF_900113455.1,digestive system,1
s__Aeromonas_hydrophila--RS_GCF_000014805.1,liquid water,1
s__Sarcina_perfringens--RS_GCF_000013285.1,biome,1
s__Enterobacter_roggenkampii--RS_GCF_001729805.1,,15
s__Bacteroides_xylanisolvens--RS_GCF_000210075.1,zoological garden,39
s__Pantoea_agglomerans--RS_GCF_001598475.1,arid,1
s__Vibrio_campbellii--RS_GCF_002163755.1,ocean biome,6
s__Lactobacillus_crispatus--RS_GCF_018987235.1,digestive system,2
s__Pseudomonas_E_avellanae--RS_GCF_000444135.1,mangrove swamp,1
s__Staphylococcus_xylosus--RS_GCF_002732165.1,food material,1
s__Proteus_mirabilis--RS_GCF_000160755.1,watercourse,1
s__Klebsiella_variicola--RS_GCF_000828055.2,biome,1
s__Anaerostipes_hadrus--RS_GCF_000332875.2,,49
s__Enterobacter_cloacae--RS_GCF_000025565.1,oil contaminated soil,1
s__Pseudomonas_E_fulva--RS_GCF_000730565.1,environmental system,3
s__Bifidobacterium_pseudocatenulatum--RS_GCF_001025215.1,feces,1
s__Xanthomonas_arboricola--RS_GCF_001013475.1,walnut (raw),2
s__Lactobacillus_crispatus--RS_GCF_018987235.1,human-associated habitat,4
s__Bacillus_licheniformis--RS_GCF_000011645.1,coral reef,1
s__Staphylococcus_pseudintermedius--RS_GCF_001792775.2,biome,1
s__Rhizobium_ruizarguesonis--RS_GCF_012349115.1,root nodule,1
s__Lacticaseibacillus_rhamnosus--RS_GCF_900636965.1,bioreactor,1
s__Ruminococcus_B_gnavus--RS_GCF_008121495.1,watercourse,2
s__Streptococcus_anginosus--RS_GCF_900636475.1,human-associated habitat,3
s__Enterobacter_cloacae_M--RS_GCF_002208095.1,freshwater biome,1
s__Klebsiella_grimontii--RS_GCF_900200035.1,watercourse,1
s__Agathobacter_faecis--RS_GCF_001406815.1,feces,1
s__Lactococcus_lactis--RS_GCF_900099625.1,feces,1
s__Phocaeicola_vulgatus--RS_GCF_000012825.1,microcosm,1
s__Klebsiella_aerogenes--RS_GCF_000215745.1,,11
s__Serratia_marcescens_K--RS_GCF_002220655.1,,3
s__Akkermansia_muciniphila--RS_GCF_000020225.1,anthropogenic terrestrial biome,3
s__Lactobacillus_delbrueckii--RS_GCF_001433875.1,bioreactor,9
s__Escherichia_albertii--RS_GCF_000759775.1,habitat,1
s__Parabacteroides_distasonis--RS_GCF_000012845.1,Homo sapiens,2
s__Anaerostipes_hadrus--RS_GCF_000332875.2,watercourse,3
s__Campylobacter_D_jejuni--RS_GCF_001457695.1,village biome,1
s__Dorea_formicigenerans--GB_GCA_025150245.1,terrestrial biome,5
s__Pseudomonas_E_alloputida--RS_GCF_021282585.1,delta,2
s__Bifidobacterium_longum--RS_GCF_000196555.1,food material,1
s__Agathobacter_faecis--RS_GCF_001406815.1,fecal environment,1
s__Blautia_A_massiliensis--RS_GCF_001487165.1,biome,4
s__Bifidobacterium_globosum--RS_GCF_000741295.1,digestive system,1
s__Bacillus_subtilis--RS_GCF_000009045.1,river bank,7
s__Bariatricus_comes--GB_GCA_025149785.1,terrestrial biome,2
s__Limosilactobacillus_reuteri_E--RS_GCF_013694365.1,biome,1
s__Levilactobacillus_brevis--RS_GCF_001433855.1,human-associated habitat,1
s__Klebsiella_grimontii--RS_GCF_900200035.1,,14
s__Lactobacillus_johnsonii--RS_GCF_000159355.1,watercourse,3
s__Bifidobacterium_adolescentis--RS_GCF_000010425.1,Homo sapiens,3
s__Bacillus_subtilis--RS_GCF_000009045.1,agricultural process,4
s__Bifidobacterium_pseudocatenulatum--RS_GCF_001025215.1,Homo sapiens,1
s__Citrobacter_werkmanii--GB_GCA_000759755.1,terrestrial biome,1
s__Gemmiger_qucibialis--GB_GCA_004000625.1,anthropogenic terrestrial biome,10
s__Bacillus_subtilis--RS_GCF_000009045.1,sandy desert,7
s__Enterococcus_B_hirae--RS_GCF_000271405.2,feces,1
s__Ruminococcus_B_gnavus--RS_GCF_008121495.1,terrestrial biome,4
s__Bacillus_licheniformis--RS_GCF_000011645.1,city,1
s__Staphylococcus_xylosus--RS_GCF_002732165.1,watercourse,1
s__Bacillus_A_toyonensis--RS_GCF_000496285.1,tropical forest,1
s__Akkermansia_muciniphila--RS_GCF_000020225.1,intestine,1
s__Corynebacterium_glutamicum--RS_GCF_000011325.1,biome,1
s__Weissella_confusa--GB_GCA_001436895.1,food material,26
s__Bifidobacterium_globosum--RS_GCF_000741295.1,feces,1
s__Klebsiella_aerogenes--RS_GCF_000215745.1,terrestrial biome,1
s__Citrobacter_portucalensis--RS_GCF_002042885.1,human-associated habitat,2
s__Limosilactobacillus_reuteri_E--RS_GCF_013694365.1,chicken,2
s__Lacticaseibacillus_paracasei--RS_GCF_000829035.1,watercourse,2
s__Lactobacillus_gasseri--RS_GCF_000014425.1,human-associated habitat,3
s__Campylobacter_D_coli--RS_GCF_000254135.1,terrestrial biome,1
s__Citrobacter_freundii--RS_GCF_011064845.1,liquid water,2
s__Staphylococcus_warneri--RS_GCF_900636385.1,,5
s__Enterococcus_E_cecorum--RS_GCF_000407565.1,,7
s__Francisella_tularensis--RS_GCF_000008985.1,,2
s__Vibrio_diabolicus--GB_GCA_001048675.1,biome,5
s__Leuconostoc_mesenteroides--RS_GCF_000014445.1,day,1
s__Staphylococcus_xylosus--RS_GCF_002732165.1,Bos,3
s__Streptococcus_thermophilus--RS_GCF_010120595.1,feces,1
s__Pectobacterium_versatile_A--RS_GCF_020166435.1,,13
s__Streptococcus_dysgalactiae--RS_GCF_900459225.1,,11
s__Staphylococcus_hominis--RS_GCF_002901845.1,,12
s__Faecalibacterium_prausnitzii--RS_GCF_003324185.1,biome,18
s__Riemerella_anatipestifer--RS_GCF_000252855.1,farm,1
s__Enterococcus_faecalis--RS_GCF_000392875.1,alimentary part of gastrointestinal system,3
s__Citrobacter_portucalensis--RS_GCF_002042885.1,field,1
s__Serratia_marcescens--RS_GCF_017299535.1,Homo sapiens,1
s__Staphylococcus_haemolyticus--RS_GCF_006094395.1,,106
s__Enterobacter_hormaechei_A--RS_GCF_001729745.1,biome,6
s__Staphylococcus_epidermidis--RS_GCF_006742205.1,skin of body,8
s__Rhodococcus_qingshengii--RS_GCF_023221595.1,plain,2
s__Enterococcus_B_lactis--RS_GCF_015751045.1,environmental system,2
s__Staphylococcus_haemolyticus--RS_GCF_006094395.1,Sepsis,1
s__Bacillus_velezensis--RS_GCF_001461825.1,vineyard,1
s__Leclercia_adecarboxylata--GB_GCA_901472455.1,field,1
s__Streptococcus_gordonii--RS_GCF_001553855.1,Homo sapiens,1
s__Burkholderia_cepacia--RS_GCF_001411495.1,liquid water,1
s__Streptococcus_suis--RS_GCF_000294495.1,temperate,1
s__Faecalibacillus_intestinalis--RS_GCF_003024685.1,human-associated habitat,6
s__Listeria_monocytogenes_B--RS_GCF_000307025.1,human-associated habitat,1
s__Limosilactobacillus_reuteri_E--RS_GCF_013694365.1,digestive system,1
s__Klebsiella_quasipneumoniae--RS_GCF_020525925.1,biome,9
s__Bifidobacterium_globosum--RS_GCF_000741295.1,animal-associated environment,1
s__Bacillus_altitudinis--RS_GCF_000691145.1,hot spring,1
s__Clostridium_butyricum--RS_GCF_006742065.1,alimentary part of gastrointestinal system,1
s__Streptomyces_albidoflavus--RS_GCF_000719955.1,marine sediment,1
s__Enterobacter_hormaechei_A--RS_GCF_001729745.1,animal-associated environment,1
s__Listeria_monocytogenes--RS_GCF_900187225.1,blood,1
s__Bacillus_licheniformis--RS_GCF_000011645.1,human-associated habitat,1
s__Enterobacter_kobei--RS_GCF_001729765.1,biome,1
s__Escherichia_marmotae--RS_GCF_002900365.1,human-associated habitat,1
s__Streptococcus_thermophilus--RS_GCF_010120595.1,,12
s__Enterobacter_ludwigii--RS_GCF_001750725.1,,7
s__Burkholderia_gladioli--RS_GCF_000959725.1,,7
s__Serratia_marcescens--RS_GCF_017299535.1,temperate,1
s__Enterobacter_roggenkampii--RS_GCF_001729805.1,river water,1
s__Aeromonas_veronii--RS_GCF_000820225.1,freshwater biome,1
s__Burkholderia_vietnamiensis--RS_GCF_000959445.1,liquid water,1
s__Enterococcus_B_lactis--RS_GCF_015751045.1,field,1
s__Pantoea_agglomerans--RS_GCF_001598475.1,biome,2
s__Staphylococcus_xylosus--RS_GCF_002732165.1,animal-associated environment,1
s__Vibrio_crassostreae--GB_GCA_024347415.1,,65
s__Xanthomonas_arboricola--RS_GCF_001013475.1,,41
s__Lacticaseibacillus_paracasei--RS_GCF_000829035.1,bioreactor,17
s__Staphylococcus_hominis--RS_GCF_002901845.1,Bos,1
