feature_id,old_locus_tag,gene_names,rast_function,bakta_function,agent_annotation,rast_class,bakta_class,agent_class,rast_category,best_source,best_annotation
ACIAD_RS14285,,mdh,Malate dehydrogenase (EC 1.1.1.37),malate dehydrogenase,"Putative NAD-dependent malate dehydrogenase type 2 (L-lactate/malate dehydrogenase family oxidoreductase) that is functionally linked to histidine utilization, with mutants showing strong fitness defects during growth on histidine and cofitness with hut histidine-catabolic genes.",specific,specific,specific,enzyme,RAST,Malate dehydrogenase (EC 1.1.1.37)
ACIAD_RS14280,ACIAD3153,,DUF2789 domain-containing protein,DUF2789 domain-containing protein,"Small DUF2789/YccE-family protein implicated in DNA damage/stress response, likely linked to methylglyoxal (dicarbonyl) detoxification.",hypothetical,hypothetical,specific,other_specific,Agent,"Small DUF2789/YccE-family protein implicated in DNA damage/stress response, likely linked to methylglyoxal (dicarbonyl) detoxification."
ACIAD_RS14275,ACIAD3152,,hypothetical protein,Transcriptional regulator,,hypothetical,specific,missing,hypothetical,Bakta,Transcriptional regulator
ACIAD_RS14270,ACIAD3151,,SM-20-related protein,Fe2OG dioxygenase domain-containing protein,"Predicted Fe(II)/2-oxoglutarate–dependent prolyl-4-hydroxylase (prolyl hydroxylase family dioxygenase), likely catalyzing post-translational prolyl hydroxylation of a protein substrate; homolog disruption decreases fitness during anaerobic growth with nitrate and during growth on acetate.",specific,specific,specific,other_specific,RAST,SM-20-related protein
ACIAD_RS14265,ACIAD3150,rlmJ,23S rRNA (adenine(2030)-N(6))-methyltransferase (EC 2.1.1.266),Ribosomal RNA large subunit methyltransferase J,"S-adenosyl-L-methionine–dependent 23S rRNA large-subunit methyltransferase (RlmJ-family), likely catalyzing N6-methylation of a specific adenine in 23S rRNA to support proper ribosome function/biogenesis.",specific,specific,specific,enzyme,RAST,23S rRNA (adenine(2030)-N(6))-methyltransferase (EC 2.1.1.266)
ACIAD_RS14260,,pssA,CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8);Archaetidylserine synthase (EC 2.7.8.38),CDP-diacylglycerol--serine O-phosphatidyltransferase,"Membrane CDP-alcohol phosphatidyltransferase family enzyme, likely phosphatidylserine synthase (PssA), catalyzing transfer of phosphatidyl group from CDP-diacylglycerol to serine in phosphatidylserine biosynthesis.",specific,specific,specific,enzyme,RAST,CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8);Archaetidylserine synthase (EC 2.7.8.38)
ACIAD_RS14255,ACIAD3148,,hypothetical protein,DUF6670 domain-containing protein,"Putative type VI secretion system (T6SS)–associated DUF6670 family protein, likely an accessory component in the impL (IcmF)/impM membrane complex operon that contributes to bacterial fitness across diverse growth conditions.",hypothetical,hypothetical,specific,hypothetical,Agent,"Putative type VI secretion system (T6SS)–associated DUF6670 family protein, likely an accessory component in the impL (IcmF)/impM membrane complex operon that contributes to bacterial fitness across diverse growth conditions."
ACIAD_RS14250,,,hypothetical protein,hypothetical protein,"Trehalose-6-phosphate phosphatase (OtsB) that converts trehalose-6-phosphate to trehalose in the OtsA/OtsB trehalose biosynthesis pathway, contributing to growth/fitness in minimal media and host-associated conditions.",hypothetical,hypothetical,specific,hypothetical,Agent,"Trehalose-6-phosphate phosphatase (OtsB) that converts trehalose-6-phosphate to trehalose in the OtsA/OtsB trehalose biosynthesis pathway, contributing to growth/fitness in minimal media and host-associated conditions."
ACIAD_RS14220,,mtnN,5'-methylthioadenosine nucleosidase (EC 3.2.2.16);S-adenosylhomocysteine nucleosidase (EC 3.2.2.9),5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,NADPH-dependent β-ketoacyl-[acyl carrier protein] reductase (FabG) that catalyzes reduction of β-ketoacyl-ACP intermediates to (3R)-3-hydroxyacyl-ACP in type II fatty acid biosynthesis (likely essential).,specific,specific,specific,enzyme,RAST,5'-methylthioadenosine nucleosidase (EC 3.2.2.16);S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)
ACIAD_RS14215,,,Dihydrolipoamide dehydrogenase (EC 1.8.1.4),dihydrolipoyl dehydrogenase,"Predicted FAD-dependent pyridine nucleotide–disulfide oxidoreductase (class I), an NAD(P)H-linked flavoprotein likely involved in cellular thiol/disulfide redox metabolism.",specific,specific,specific,enzyme,RAST,Dihydrolipoamide dehydrogenase (EC 1.8.1.4)
ACIAD_RS14210,ACIAD3144,,Invasin domain protein,Big-1 domain-containing protein,"Putative cell-surface adhesion protein containing multiple bacterial Ig-like (Big-1)/invasin-intimin–like domains, likely mediating attachment/biofilm interactions in Gram-negative bacteria.",specific,specific,specific,other_specific,RAST,Invasin domain protein
ACIAD_RS14205,ACIAD3143,,Protein tyrosine phosphatase,Beta-lactamase hydrolase-like protein phosphatase-like domain-containing protein,Predicted metal-dependent phosphatase/phosphoesterase of the metallo-β-lactamase (beta-lactamase hydrolase-like) fold.,specific,specific,specific,other_specific,RAST,Protein tyrosine phosphatase
ACIAD_RS14200,,,Protein tyrosine phosphatase,Beta-lactamase hydrolase-like protein,Putative beta-lactamase–fold phosphatase/metallophosphoesterase (protein-tyrosine phosphatase-like domain).,specific,specific,specific,other_specific,RAST,Protein tyrosine phosphatase
ACIAD_RS14195,ACIAD3141,,"Hydrolase, alpha/beta fold family",Serine aminopeptidase S33 domain-containing protein,"Predicted serine hydrolase of the S33 (prolyl/aminopeptidase-like) alpha/beta-hydrolase family, likely functioning as an esterase/peptidase.",specific,specific,specific,enzyme,RAST,"Hydrolase, alpha/beta fold family"
ACIAD_RS14190,ACIAD3140,trxC,Thioredoxin 2,thioredoxin TrxC,Thioredoxin-family oxidoreductase that catalyzes thiol–disulfide exchange reactions to maintain cellular redox homeostasis (protein disulfide reduction).,specific,specific,specific,other_specific,RAST,Thioredoxin 2
ACIAD_RS14185,ACIAD3139,,"Acyl-CoA thioesterase YciA, involved in membrane biogenesis",Acyl-CoA thioesterase,"HotDog-domain acyl-CoA thioesterase (acyl-CoA thioester hydrolase) likely involved in maintaining acyl-CoA/lipid homeostasis and contributing to cell-envelope integrity, as mutants show strong fitness defects under cell wall/envelope-targeting antibiotics and other stresses.",specific,specific,specific,enzyme,RAST,"Acyl-CoA thioesterase YciA, involved in membrane biogenesis"
ACIAD_RS14180,ACIAD3138,,DUF4442 domain-containing protein,DUF4442 domain-containing protein,,hypothetical,hypothetical,missing,other_specific,None available,
ACIAD_RS14175,ACIAD3137,yajQ,UPF0234 protein Yitk,YajQ family cyclic di-GMP-binding protein,YajQ/UPF0234 family nucleotide-binding (putative c-di-GMP–binding) regulatory protein associated with branched-chain amino acid (leucine/valine/isoleucine) utilization pathways.,specific,specific,specific,other_specific,RAST,UPF0234 protein Yitk
ACIAD_RS14170,,,putative Rhodanese-related sulfurtransferase,Rhodanese domain-containing protein,"Putative accessory protein of the pga biofilm locus, likely involved in production/export of poly-β-1,6-N-acetyl-D-glucosamine (PGA/PNAG) extracellular polysaccharide; small rhodanese-like (GlpE-family) protein that impacts fitness under stress conditions.",specific,specific,specific,enzyme,RAST,putative Rhodanese-related sulfurtransferase
ACIAD_RS14165,ACIAD3135,mnmC,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61);FAD-dependent cmnm(5)s(2)U34 oxidoreductase,tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC,Bifunctional tRNA wobble-uridine modification enzyme MnmC; catalyzes the FAD-dependent oxidative conversion and SAM-dependent methylation steps that produce 5‑methylaminomethyl‑2‑thiouridine (mnm5s2U) at U34 in tRNAs.,specific,specific,specific,enzyme,RAST,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61);FAD-dependent cmnm(5)s(2)U34 oxidoreductase
ACIAD_RS14160,ACIAD3134,,hypothetical protein,SH3 domain protein,,hypothetical,specific,missing,hypothetical,Bakta,SH3 domain protein
ACIAD_RS14155,ACIAD3133,,YciL protein,YCII-related domain-containing protein,"YciI-family protein in the conserved dcw (cell division/cell wall) gene cluster, likely supporting peptidoglycan/cell envelope biogenesis during division; mutants show decreased fitness under cell wall–targeting antibiotics (e.g., D-cycloserine, bacitracin, beta-lactams) and reduced competitiveness in planta.",specific,specific,specific,other_specific,RAST,YciL protein
ACIAD_RS14150,,yciB,Intracellular septation protein IspA,Inner membrane-spanning protein YciB,"Inner membrane-spanning protein YciB, likely involved in envelope-associated stress adaptation/redox homeostasis, contributing to resistance to nitrite and metal/oxidative stresses.",specific,specific,specific,other_specific,RAST,Intracellular septation protein IspA
ACIAD_RS14145,ACIAD3131,,FIG00031715: Predicted metal-dependent phosphoesterases (PHP family),PHP domain-containing protein,"Predicted metal-dependent phosphoesterase of the PHP (polymerase/histidinol phosphatase) domain family, likely involved in hydrolysis of phosphomonoester/phosphodiester substrates.",specific,specific,specific,enzyme,RAST,FIG00031715: Predicted metal-dependent phosphoesterases (PHP family)
ACIAD_RS14140,ACIAD3130,,Uncharacterized glutathione S-transferase-like protein,Glutathione S-transferase,"Putative glutathione S-transferase (GST)-family enzyme, likely involved in glutathione-dependent detoxification/conjugation reactions.",specific,specific,specific,hypothetical,RAST,Uncharacterized glutathione S-transferase-like protein
ACIAD_RS14135,ACIAD3129,lysR,"Transcriptional regulator, LysR family",LysR family transcriptional regulator,"LysR-family transcriptional regulator required for flagellar motility/biogenesis and contributing to fitness during membrane/osmotic stresses (e.g., quaternary ammonium compounds, polymyxin).",specific,specific,specific,regulator,RAST,"Transcriptional regulator, LysR family"
ACIAD_RS14130,ACIAD3128,,"Aldo/keto reductase, SMc04056 family",Aldo/keto reductase,Putative NADPH-dependent aldo-keto reductase (NAD(P)-dependent oxidoreductase) likely involved in detoxification/biosynthesis of carbonyl compounds.,specific,specific,specific,enzyme,RAST,"Aldo/keto reductase, SMc04056 family"
ACIAD_RS14125,ACIAD3127,,probable membrane protein STY1534,Bestrophin,Predicted VDAC/YneE-like voltage-dependent anion-selective membrane channel (porin) that modulates envelope permeability and influences susceptibility to diverse stresses/antimicrobials.,specific,specific,specific,other_specific,RAST,probable membrane protein STY1534
ACIAD_RS14120,ACIAD3126,radC,UPF0758 family protein,DNA repair protein RadC,"Putative cytochrome bo3 (cytochrome o ubiquinol oxidase) accessory/assembly protein (UPF0758 family), likely required for efficient aerobic respiration via the cyo terminal oxidase.",specific,specific,specific,other_specific,RAST,UPF0758 family protein
ACIAD_RS14115,,coaBC,Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36);Phosphopantothenoylcysteine synthetase (EC 6.3.2.5),bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,Bifunctional CoaBC enzyme catalyzing consecutive steps in coenzyme A biosynthesis (phosphopantothenoylcysteine synthetase CoaB and FMN-dependent phosphopantothenoylcysteine decarboxylase CoaC activities).,specific,specific,specific,enzyme,RAST,Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36);Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)
ACIAD_RS14110,ACIAD3123,cybC,Soluble cytochrome b562,cytochrome b562,"Periplasmic cytochrome b562 family heme-binding electron-transfer protein, likely supporting TonB/ExbD-dependent iron–siderophore uptake and contributing to fitness in host-associated/iron-limited conditions.",specific,specific,specific,other_specific,RAST,Soluble cytochrome b562
ACIAD_RS14105,ACIAD3122,secB,Protein-export protein SecB (maintains pre-export unfolded state),protein-export chaperone SecB,"SecB-family cytosolic chaperone that binds newly synthesized preproteins and targets them to the SecA/SecYEG export machinery, contributing to envelope/secreted protein biogenesis and fitness under diverse stress and nutrient conditions.",specific,specific,specific,other_specific,RAST,Protein-export protein SecB (maintains pre-export unfolded state)
ACIAD_RS14100,ACIAD3121,grxC,Glutaredoxin 3 (Grx3),glutaredoxin 3,"Glutaredoxin (GrxC family) glutathione-dependent thiol-disulfide oxidoreductase that helps maintain cellular redox balance and supports detoxification/oxidative-stress responses (e.g., as an electron donor in arsenate reduction).",specific,specific,specific,other_specific,RAST,Glutaredoxin 3 (Grx3)
ACIAD_RS14095,ACIAD3120,glpE,Rhodanese-related sulfurtransferase YibN,Thiosulfate sulfurtransferase GlpE,"Putative GlpE-family thiosulfate sulfurtransferase (rhodanese-domain sulfurtransferase), likely involved in sulfur transfer/cyanide detoxification reactions.",specific,specific,specific,enzyme,RAST,Rhodanese-related sulfurtransferase YibN
ACIAD_RS14090,ACIAD3119,rsgA,Ribosome small subunit biogenesis RbfA-release protein RsgA,small ribosomal subunit biogenesis GTPase RsgA,"Urease accessory GTPase (UreG-family), required for urease maturation/activation and growth on urea and related ureides as nitrogen sources.",specific,specific,specific,other_specific,RAST,Ribosome small subunit biogenesis RbfA-release protein RsgA
ACIAD_RS14085,,orn,3'-to-5' oligoribonuclease (orn),oligoribonuclease,"Oligoribonuclease (Orn)-family 3′→5′ exoribonuclease that degrades short oligoribonucleotides (nanoRNA), contributing to RNA turnover.",specific,specific,specific,other_specific,RAST,3'-to-5' oligoribonuclease (orn)
ACIAD_RS14080,ACIAD3117,,Bax inhibitor-1/YccA family protein,Bax inhibitor-1/YccA family protein,"Bax inhibitor-1/YetJ family multi-pass inner membrane protein, likely a pH-regulated Ca2+/H+ antiporter that contributes to membrane homeostasis and modulates fitness during antibiotic/stress conditions.",specific,specific,specific,other_specific,RAST,Bax inhibitor-1/YccA family protein
ACIAD_RS14075,,,Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9),Enoyl-[acyl-carrier-protein] reductase [NADH],"NAD(P)-dependent short-chain dehydrogenase/reductase likely functioning as a 3-hydroxyacyl-CoA dehydrogenase in branched-chain amino acid/short-chain acyl-CoA catabolism, genetically linked to the electron transfer flavoprotein (EtfAB) redox system.",specific,specific,specific,enzyme,RAST,Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)
ACIAD_RS14070,ACIAD3115,vgrG,VgrG protein,Type VI secretion system tip protein VgrG,"Type VI secretion system spike protein VgrG (Rhs-associated), a structural puncturing component of the T6SS used for effector delivery and contributing to fitness in specific environmental/host-associated conditions.",specific,specific,specific,other_specific,RAST,VgrG protein
ACIAD_RS14065,ACIAD3114,,T6SS effector tse,hypothetical protein,,specific,hypothetical,missing,other_specific,RAST,T6SS effector tse
ACIAD_RS14060,,,Serine/threonine kinase,Sulfatase-modifying factor enzyme domain-containing protein,Predicted sulfatase-modifying factor (formylglycine-generating enzyme–like) involved in post-translational activation of sulfatases by generating the catalytic formylglycine residue.,specific,specific,specific,enzyme,RAST,Serine/threonine kinase
ACIAD_RS14055,ACIAD3112,,SUMF1/EgtB/PvdO family nonheme iron enzyme,Sulfatase-modifying factor enzyme domain-containing protein,Putative sulfatase-maturating enzyme (formylglycine-generating enzyme/FGE-like) likely involved in post-translational activation of sulfatases by converting the catalytic cysteine/serine to formylglycine.,specific,specific,specific,other_specific,RAST,SUMF1/EgtB/PvdO family nonheme iron enzyme
ACIAD_RS14050,ACIAD3111,,"Efflux transport system, outer membrane factor (OMF) lipoprotein",Putative outer membrane protein,"Outer membrane efflux channel protein of the MdtP/NodT family, likely forming the outer membrane component of a tripartite multidrug efflux system.",specific,specific,specific,transporter,RAST,"Efflux transport system, outer membrane factor (OMF) lipoprotein"
ACIAD_RS14045,ACIAD3110,macB,Macrolide export ATP-binding/permease protein MacB,Macrolide export ATP-binding/permease protein MacB,ABC-type macrolide exporter MacB; inner-membrane ATP-dependent transporter component of the MacAB-TolC efflux pump involved in macrolide/drug resistance.,specific,specific,specific,transporter,RAST,Macrolide export ATP-binding/permease protein MacB
ACIAD_RS14040,ACIAD3109,macA,Macrolide-specific efflux protein MacA,Secretion protein HylD,"Periplasmic membrane fusion (adaptor) protein of an RND-type multidrug efflux system (MdtA/MacA family), contributing to intrinsic resistance/tolerance to antibiotics and other stresses and affecting fitness during plant-associated growth and biofilm formation.",specific,specific,specific,transporter,RAST,Macrolide-specific efflux protein MacA
ACIAD_RS14035,,holA,DNA polymerase III delta subunit (EC 2.7.7.7),DNA polymerase III subunit delta,DNA polymerase III delta (HolA) clamp-loader subunit required for loading the beta sliding clamp during chromosomal DNA replication.,specific,specific,specific,enzyme,RAST,DNA polymerase III delta subunit (EC 2.7.7.7)
ACIAD_RS14030,ACIAD3107,lptE,LPS-assembly lipoprotein LptE,LPS-assembly lipoprotein LptE,"Outer membrane lipoprotein LptE that forms the LptD/LptE translocon required for lipopolysaccharide assembly/insertion into the outer membrane, impacting envelope-associated stress/antibiotic fitness.",specific,specific,specific,other_specific,RAST,LPS-assembly lipoprotein LptE
ACIAD_RS14025,,leuS,Leucyl-tRNA synthetase (EC 6.1.1.4),leucine--tRNA ligase,"Leucyl-tRNA synthetase (LeuRS), a class I aminoacyl-tRNA ligase that charges tRNA(Leu) with leucine and contains an editing domain for proofreading misacylated tRNA.",specific,specific,specific,enzyme,RAST,Leucyl-tRNA synthetase (EC 6.1.1.4)
ACIAD_RS14020,ACIAD3105,,DUF4124 domain-containing protein,DUF4124 domain-containing protein,,hypothetical,hypothetical,missing,other_specific,None available,
ACIAD_RS14015,ACIAD3104,,Acetolactate synthase large subunit (EC 2.2.1.6),Acetolactate synthase,"Thiamine pyrophosphate (TPP)-dependent acetolactate/acetohydroxyacid synthase large subunit (IlvB/IlvI), catalyzing the first committed step in branched-chain amino acid (valine, leucine, isoleucine) biosynthesis and required for optimal growth in minimal media.",specific,specific,specific,enzyme,RAST,Acetolactate synthase large subunit (EC 2.2.1.6)
ACIAD_RS14010,,ilvN,Acetolactate synthase small subunit (EC 2.2.1.6),acetolactate synthase small subunit,"Putative acetohydroxyacid synthase (acetolactate synthase) small regulatory subunit (IlvH/IlvN family), an ACT-domain protein that modulates the first committed step of branched-chain amino acid (valine/leucine/isoleucine) biosynthesis; homolog mutants show broad fitness defects under stress and motility assays, consistent with an important role in cellular growth/physiology.",specific,specific,specific,enzyme,RAST,Acetolactate synthase small subunit (EC 2.2.1.6)
ACIAD_RS14005,,ilvC,Ketol-acid reductoisomerase (NADP(+)) (EC 1.1.1.86),ketol-acid reductoisomerase,"Ketol-acid reductoisomerase (IlvC), an NAD(P)H-dependent oxidoreductase that catalyzes an early step in branched-chain amino acid (valine/leucine/isoleucine) biosynthesis; disruption causes growth/fitness defects in multiple nutrient conditions.",specific,specific,specific,enzyme,RAST,Ketol-acid reductoisomerase (NADP(+)) (EC 1.1.1.86)
ACIAD_RS14000,,,diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s),Diguanylate cyclase,"Membrane-associated MHYT-domain sensor with GGDEF diguanylate cyclase and EAL c-di-GMP phosphodiesterase domains, likely functioning as a redox/oxygen-responsive c-di-GMP signaling enzyme that regulates biofilm formation/maintenance.",specific,specific,specific,enzyme,RAST,diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)
ACIAD_RS13995,ACIAD3095,prfC,Peptide chain release factor 3,peptide chain release factor 3,Translational GTPase release factor 3 (RF3/PrfC) that enhances translation termination by promoting dissociation/recycling of class I release factors from the ribosome in a GTP-dependent manner.,specific,specific,specific,other_specific,RAST,Peptide chain release factor 3
ACIAD_RS13990,ACIAD3093,,hypothetical protein,DUF3298 domain-containing protein,"Putative flavin reductase/oxidoreductase associated with organosulfonate utilization, likely providing reduced flavin for sulfonate/taurine desulfonation enzymes.",hypothetical,hypothetical,specific,hypothetical,Agent,"Putative flavin reductase/oxidoreductase associated with organosulfonate utilization, likely providing reduced flavin for sulfonate/taurine desulfonation enzymes."
ACIAD_RS13985,ACIAD3092,,putative lipoprotein,DUF3298 domain-containing protein,"Conserved DUF3298 (PdaC/RsiV-like) protein, typically encoded near DNA repair genes (fpg and radC) and ribosomal protein L28, contributes to general fitness including motility and resistance to diverse stresses (e.g., oxidative/metal and multiple antibiotics).",specific,hypothetical,specific,other_specific,RAST,putative lipoprotein
ACIAD_RS13980,ACIAD3091,,Putative deoxyribonuclease YjjV,DNase,"Metal-dependent TatD-family 3′→5′ exonuclease (ssDNA/RNA nuclease) likely involved in nucleic-acid degradation/repair, contributing to fitness during growth on diverse carbon sources and under stress.",specific,specific,specific,other_specific,RAST,Putative deoxyribonuclease YjjV
ACIAD_RS13975,ACIAD3090,acnA,Aconitate hydratase (EC 4.2.1.3),aconitate hydratase AcnA,Aconitase-family [4Fe-4S] dehydratase associated with the ethanolamine utilization (eut) gene cluster and required for efficient growth when ethanolamine is used as a nitrogen source.,specific,specific,specific,enzyme,RAST,Aconitate hydratase (EC 4.2.1.3)
ACIAD_RS13970,ACIAD3089,,"RidA/YER057c/UK114 superfamily, group 1",Endoribonuclease L-PSP/chorismate mutase-like domain-containing protein,"Predicted RidA/YjgF-family reactive intermediate deaminase (RutC-like trimeric protein) that detoxifies/enamine–imine intermediates (e.g., 2-aminoacrylate) generated by PLP-dependent enzymes, helping maintain metabolic homeostasis and stress tolerance.",specific,specific,specific,other_specific,RAST,"RidA/YER057c/UK114 superfamily, group 1"
ACIAD_RS13965,ACIAD3088,,Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 1,tRNA threonylcarbamoyladenosine dehydratase,ThiF/MoeB family E1-like enzyme that activates ubiquitin-like sulfur-carrier proteins by adenylation (thiocarboxylate formation) in cofactor biosynthesis pathways.,specific,specific,specific,other_specific,RAST,Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 1
ACIAD_RS13960,ACIAD3087,,hypothetical protein,Bacteriophage lysin domain-containing protein,,hypothetical,specific,missing,hypothetical,Bakta,Bacteriophage lysin domain-containing protein
ACIAD_RS13955,ACIAD3085,dusA,tRNA-dihydrouridine(20/20a) synthase (EC 1.3.1.91),tRNA dihydrouridine(20/20a) synthase DusA,"FMN-dependent tRNA-dihydrouridine synthase (Dus) that reduces uridine to dihydrouridine at position 20/20a in tRNAs, supporting efficient growth/fitness across diverse nutrient and stress conditions.",specific,specific,specific,enzyme,RAST,tRNA-dihydrouridine(20/20a) synthase (EC 1.3.1.91)
ACIAD_RS13950,ACIAD3084,,Uncharacterized MFS-type transporter,MFS transporter,Major facilitator superfamily (MFS) inner-membrane transporter implicated in transport of aromatic/organic acids during catabolism and contributes to tolerance of multiple chemical stresses.,specific,specific,specific,hypothetical,RAST,Uncharacterized MFS-type transporter
ACIAD_RS13945,ACIAD3083,yjgF,RidA family protein,YjgF family translation initiation inhibitor,"RidA/YjgF-family reactive intermediate (enamine/imine) deaminase, likely supporting histidine utilization by preventing buildup of toxic amino-acrylate intermediates; disruption causes a strong fitness defect during growth with L-histidine as nitrogen source and shows conserved linkage/cofitness with hut histidine catabolic genes.",specific,specific,specific,other_specific,RAST,RidA family protein
ACIAD_RS13940,ACIAD3082,soxR,Redox-sensitive transcriptional activator SoxR,redox-sensitive transcriptional activator SoxR,"Redox-sensing MerR-family transcriptional regulator (SoxR-like) implicated in controlling oxidative stress/metal homeostasis defenses, with conserved cofitness to glutaredoxin/oxidative-damage protection genes and condition-dependent fitness effects under oxidants (e.g., paraquat, nitrite) and antibiotic stresses.",specific,specific,specific,regulator,RAST,Redox-sensitive transcriptional activator SoxR
ACIAD_RS13935,ACIAD3081,,Permease of the drug/metabolite transporter (DMT) superfamily,Putative membrane protein,"Predicted EamA/EmrE superfamily inner-membrane drug/metabolite transporter (DMT family), likely mediating export/import of small metabolites such as amino acids.",specific,specific,specific,transporter,RAST,Permease of the drug/metabolite transporter (DMT) superfamily
ACIAD_RS13930,ACIAD3080,pntA,NAD(P) transhydrogenase N-domain of subunit alpha (EC 1.6.1.2),Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha,"Glutathione synthetase (GshB; EC 6.3.2.3) catalyzing the ATP-dependent ligation of glycine to γ-glutamylcysteine to form glutathione, supporting redox/oxidative-stress defense and growth in minimal media.",specific,specific,specific,enzyme,RAST,NAD(P) transhydrogenase N-domain of subunit alpha (EC 1.6.1.2)
ACIAD_RS13925,ACIAD3079,,NAD(P) transhydrogenase C-domain of subunit alpha (EC 1.6.1.2),proton-translocating NAD(P)(+) transhydrogenase,Putative NAD(P) transhydrogenase subunit alpha (PntA) C-terminal domain; likely part of a proton-translocating transhydrogenase complex that interconverts NAD(H) and NADP(H) to support cellular NADPH/NADH redox balance.,specific,specific,specific,enzyme,RAST,NAD(P) transhydrogenase C-domain of subunit alpha (EC 1.6.1.2)
ACIAD_RS13920,ACIAD3078,pntB,NAD(P) transhydrogenase subunit beta (EC 1.6.1.2),NAD(P) transhydrogenase subunit beta,"Beta (NADP(H)-binding) subunit of membrane-bound proton-translocating nicotinamide nucleotide transhydrogenase (PntB), catalyzing reversible hydride transfer between NAD(H) and NADP(H) to generate NADPH.",specific,specific,specific,enzyme,RAST,NAD(P) transhydrogenase subunit beta (EC 1.6.1.2)
ACIAD_RS13915,ACIAD3077,,putative membrane protein,Inner membrane protein,"Putative inner-membrane transporter (YajR/MFS-type) that contributes to intrinsic resistance to multiple antibiotics and other toxic/oxidative stress compounds, consistent with a role in small-molecule/drug efflux.",specific,specific,specific,uninformative,Needs review,"Putative inner-membrane transporter (YajR/MFS-type) that contributes to intrinsic resistance to multiple antibiotics and other toxic/oxidative stress compounds, consistent with a role in small-molecule/drug efflux."
ACIAD_RS13910,ACIAD3076,rsfS,Ribosomal silencing factor RsfA,ribosome silencing factor,"Ribosomal silencing factor RsfS (YbeB), a small protein that binds the 50S ribosomal subunit (L14) to downregulate translation during stress/stationary phase.",specific,specific,specific,other_specific,RAST,Ribosomal silencing factor RsfA
ACIAD_RS13905,ACIAD3075,,Hydroxypyruvate isomerase (EC 5.3.1.22),Hydroxypyruvate isomerase,"Putative sugar epimerase/isomerase of the xylose isomerase-like TIM-barrel family, annotated as hydroxypyruvate isomerase-like enzyme.",specific,specific,specific,enzyme,RAST,Hydroxypyruvate isomerase (EC 5.3.1.22)
ACIAD_RS13900,ACIAD3074,,3-hydroxyisobutyrate dehydrogenase family protein,NAD(P)-dependent oxidoreductase,"NAD(P)-dependent 3-hydroxyacid dehydrogenase (3-hydroxyisobutyrate dehydrogenase-like), likely involved in oxidation of 3-hydroxyisobutyrate during branched-chain amino acid (valine) catabolism.",specific,specific,specific,enzyme,RAST,3-hydroxyisobutyrate dehydrogenase family protein
ACIAD_RS13895,ACIAD3073,,Enoyl-CoA hydratase (EC 4.2.1.17),crotonase/enoyl-CoA hydratase family protein,"Putative crotonase-family enoyl-CoA hydratase/isomerase, likely acting on a CoA-thioester intermediate during sulfonate/aromatic compound catabolism and contributing to fitness during growth in diverse conditions.",specific,specific,specific,enzyme,RAST,Enoyl-CoA hydratase (EC 4.2.1.17)
ACIAD_RS13890,ACIAD3072,,Signal transduction histidine-protein kinase BarA (EC 2.7.13.3),histidine kinase,"Hybrid sensor histidine kinase (HisKA–HATPase with receiver and Hpt phosphotransfer domains) that likely functions in a multistep two-component phosphorelay with a neighboring/cofit LytTR-family response regulator (AlgR/LytR family), contributing to regulation of stress/adaptation functions important for growth under diverse conditions and host-associated fitness.",specific,specific,specific,enzyme,RAST,Signal transduction histidine-protein kinase BarA (EC 2.7.13.3)
ACIAD_RS13885,ACIAD3071,cysM,Cysteine synthase B (EC 2.5.1.47),cysteine synthase CysM,Pyridoxal phosphate-dependent cysteine synthase (CysM/O-acetylserine sulfhydrylase) that catalyzes the final step of L-cysteine biosynthesis from O-acetyl-L-serine and sulfide.,specific,specific,specific,enzyme,RAST,Cysteine synthase B (EC 2.5.1.47)
